"";"0";"1";"2";"Total"
"CHYPRE";7,60554966966931;18,6578046688863;73,7366456614444;100
"FRANCE";13,7135695662456;36,1218973236627;50,1645331100917;100
"GRECE";10,389852903459;23,3910087958753;66,2191383006657;100
"HONGRIE";20,9332252458666;30,7259497296195;48,3408250245138;100
"LITUANIE";20,4118386825974;28,2318025745799;51,3563587428227;100
"PORTUGAL";24,4309074929203;29,5174276591303;46,0516648479494;100
"ROUMANIE";14,2949116386803;14,7233017334374;70,9817866278823;100
"SUEDE";12,0673409148241;35,9659476522218;51,9667114329541;100
"TCHEQUE";12,3249838564357;31,8515543171514;55,8234618264129;100
"All";14,8399984665188;30,3024561131868;54,8575454202944;100
