Variable,Estimate,Pr(>|z|)
hhtype5,-0.3962195710533178,1.4594230041835586e-4
AM6A1,-0.479066595504213,6.981883173020977e-4
PA54,-0.7471669682706581,0.008652748186407199
PA61,-0.7159358063955978,0.0022585131303424584
PE11,-0.2899124595490046,0.0010463339620837171
PE14,-1.2645597214207727,4.934901078861474e-7
FV13,-0.5538887059695372,6.6036458281782915e-6
FV14,-0.9256976271720984,3.2290202432754985e-6
nb_maladiegrave1,-2.3009155396430643,1.1920621017100585e-90
nb_maladiegrave2,-2.8349543267997492,2.8175914335464283e-72
nb_maladiegrave3.,-3.611651183982396,2.3936843021247075e-53
nb_maladiepasgrave1,-1.6530135969127406,1.0537034620653672e-56
nb_maladiepasgrave2,-2.5798361107611827,1.9234798524541965e-76
nb_maladiepasgrave3,-2.557764764531126,3.01576737216954e-31
nb_maladiepasgrave4.,-3.5503240188472494,5.44072551083872e-23
DEG_URB_r1,-0.5091194364561284,7.3329718973564535e-9
HATLEVEL_rPrim,-0.560949189252238,1.763048826912029e-7
HO3_r31,-0.9444108753400069,9.348000418386013e-5
AGE_PERS6540.64_Non,-0.4070777773991463,2.070396014492251e-5
AM7_HO12.6.210._Oui,-2.700989446415849,7.627419710706754e-4
AM7_HO120_Oui,-1.3080082799221082,2.3733581096698812e-4
(Intercept):1,4.4832219971521585,3.462666091847649e-120
(Intercept):2,1.1495271026002643,4.556483909656188e-12
SEX1,0.48288352811148166,5.032727975078938e-8
HH_ACT1,0.4667445111862343,5.947723995853723e-5
HH_ACT2,0.6406713371355128,1.3857772497239448e-6
HH_ACT3.,1.0118456433078917,5.700332306780706e-7
HHINCOME5,0.4216814214764692,5.537270144340575e-4
AM42,0.7619128972369335,4.644654303929369e-11
MD12,0.9896652281112469,2.40394267507331e-19
MD22,0.6020056230149287,1.4545168615441395e-9
PE23,0.8533345387595838,4.0765188728043893e-4
PE27,0.5339944635358335,0.007984069592031242
HATLEVEL_rUniv,0.6278886819606634,3.6378288183840894e-8
