Variable,Estimate,Pr(>|z|)
(Intercept):2,-0.2916369966998532,0.08904012833711453
AM6A1,-0.3771566687056956,1.6552082439781937e-6
AM6B1,-0.8731096942783579,8.560304154617591e-5
PA62,-0.45691066096339195,1.4549355001480072e-5
PE11,-0.34501504913448644,2.396662765588299e-7
PE14,-0.9108475888235384,1.925899397671032e-10
FV13,-0.2473984232891005,0.0011634410504280652
FV14,-0.44448436790384355,0.001580592098988415
nb_maladiegrave1,-2.070461032596991,5.603146964089728e-132
nb_maladiegrave2,-2.672817804594828,1.1991991636321729e-119
nb_maladiegrave3.,-3.3548668499823093,3.6204581131928814e-58
nb_maladiepasgrave1,-1.5204242114194022,4.015795791117984e-86
nb_maladiepasgrave2,-2.1019906275092786,2.064877587275854e-96
nb_maladiepasgrave3,-2.35199876461991,8.996049895916035e-62
nb_maladiepasgrave4.,-2.9852453546784976,3.9716891496490883e-41
AC1B_r1,-0.30145333969065224,0.002922278296053413
AGE_PERS6540.64_Non,-0.7850004670670357,3.804601735890382e-15
AGE_PERS6540.64_Oui,-0.511323638674532,0.0030979494166344526
AGE_PERS6565._Oui,-0.8409615982341261,1.8863623563203648e-14
AM7_HO12.1.5._Non,-0.7598247177369936,4.4806903768312303e-8
AM7_HO12.1.5._Oui,-1.564608246407659,0.0018483523969178987
AM7_HO12.6.210._Non,-0.46559572740929434,5.485845552706445e-5
AM7_HO12.6.210._Oui,-1.3028872625672638,0.0010375024879480375
AM7_HO120_Oui,-0.8368957493915854,1.648419643436982e-4
FUMACTPASFumeur.Passif,-0.3001368355960705,0.009010307858139038
(Intercept):1,3.458937124463147,5.37201190395127e-80
HHINCOME2,0.4896712079714988,9.99023341599571e-7
HHINCOME3,0.6368597393819468,1.6839261445559466e-10
HHINCOME4,0.7360189672356887,2.5602665042021594e-13
HHINCOME5,0.807414746146081,1.9038791486910224e-13
AM11,0.5117902131896048,1.3727013843537904e-10
AM12,0.3811774001306868,9.201231893279112e-6
AM42,0.30709907328151526,6.0490838385981765e-5
MD12,1.2978554534470002,2.0390468707638507e-42
MD22,0.4336402463429615,2.2176563030947222e-11
PA52,0.27882814614297063,0.0020309465930612508
PE22,0.7492706045161216,1.3891244995451477e-7
PE23,0.4808530169192694,4.847255030621378e-4
PE24,0.7373707954278008,8.407449788270881e-7
PE25,0.9795537857916812,1.884542990800823e-16
PE26,0.9937594202705665,2.764341207758747e-8
PE27,1.0947183502753137,1.0379963498726685e-28
PE42,0.5401990774396866,2.8387269695705226e-5
PE61,0.5236532500573796,3.059777644885911e-5
PE62,0.47443760325084816,9.99549505959149e-4
HATLEVEL_rUniv,0.4047441350115809,4.851716050024559e-5
