Variable,Estimate,Pr(>|z|)
AM6A1,-0.45909841000482543,2.0293146711736402e-6
AM6B1,-1.3683655110788369,2.2295912711503494e-26
PA54,-0.2858464531101094,0.0068855538754221636
PE11,-0.3221674241620038,3.7843644842922294e-6
PE14,-0.506241461938567,4.345225407896858e-7
FV13,-0.38916076914426645,4.1249527298440525e-7
FV14,-0.33677135755485693,0.0066389165892158505
FV15,-0.9527287893295248,3.564012099921528e-5
nb_maladiegrave1,-2.245691944660998,5.156269552141395e-178
nb_maladiegrave2,-2.871979981607353,1.717525693601693e-148
nb_maladiegrave3.,-3.5159932806237397,3.494908212466626e-95
nb_maladiepasgrave1,-1.4520156213834141,2.2336513536406437e-93
nb_maladiepasgrave2,-1.9111311599253282,7.702554995166337e-92
nb_maladiepasgrave3,-2.3463859925022805,7.279577225294298e-60
nb_maladiepasgrave4.,-2.3496174802793237,2.3055403545485597e-31
HATLEVEL_rPrim,-0.5480895687397105,6.580941291102883e-14
MAINSTAT_r32,-0.2485937576086612,1.7146139265590438e-4
MAINSTAT_r35,-0.2636593958767871,0.003380136807637838
HO3_r31,-0.45670377255740996,9.591147183940088e-6
HO3_r32.3,-0.6724204203594636,1.261413287310378e-9
AGE_PERS6540.64_Non,-0.38623974947983986,5.067082577202109e-5
AGE_PERS6540.64_Oui,-0.49278680799032293,1.5087690940716677e-4
AGE_PERS6565._Oui,-0.6464620475502687,1.3177179929636259e-8
AM7_HO12.1.5._Non,-0.8011066541506069,2.4755061426246702e-11
AM7_HO12.1.5._Oui,-1.3661015312478768,6.624424285104948e-4
AM7_HO12.6.210._Non,-0.577458597384839,4.216111758969389e-5
AM7_HO120_Oui,-0.6894662171616494,7.633194559025732e-5
(Intercept):1,4.9149858617921005,1.1305108236134996e-211
(Intercept):2,1.5661315850500626,9.077894731036801e-29
SEX1,0.25403171152828086,6.488005866778075e-5
HHINCOME4,0.2301618503251986,0.002503603648240522
HHINCOME5,0.34063533046702377,3.907392785111862e-5
AM43,0.4879700273674392,2.722454366683157e-6
MD12,0.7973725301166336,3.3042978304742113e-24
MD22,0.4379233566918615,7.393049619577025e-12
PE22,0.37562759322865,0.005308790582083591
PE23,0.44619126181578056,2.474360892121209e-4
PE24,0.6079999864857057,1.1572279703799998e-5
PE25,0.5286172344614143,8.463464395500504e-7
PE26,0.7707918606226642,1.1366140847866307e-7
PE27,0.5479896308599222,3.903290656335322e-12
PE43,1.111179842790993,0.005143569787103221
FUMACTPASFumeur.Passif,0.23191524898381755,3.402257319404612e-4
