Variable,Estimate,Pr(>|z|)
hhtype5,-0.3140329017674772,1.6448768018014357e-7
AM6A1,-0.37585086342350105,5.014435382482502e-15
AM6B1,-0.8143666634187785,1.2750016844518622e-21
PA62,-0.39502383817152376,1.2634211813255284e-8
PA64,-0.29025663500044074,3.0083821178510837e-5
PE11,-0.2489478058817856,7.181052535874976e-9
PE13,-0.3363476304795749,4.861033352157676e-8
FV13,-0.1950736751446712,3.1535670899919435e-4
FV14,-0.3462045815785206,6.831721671968016e-7
nb_maladiegrave1,-1.9414200874447851,6.57203588999669e-293
nb_maladiegrave2,-2.373335265693824,1.1020633078078685e-138
nb_maladiegrave3.,-2.8562462609188555,1.832756017098429e-37
nb_maladiepasgrave1,-1.767220758052604,0
nb_maladiepasgrave2,-2.28738952369131,0
nb_maladiepasgrave3,-2.664540043668392,8.629498396159136e-244
nb_maladiepasgrave4.,-3.2154613757019246,6.958419829755604e-168
HATLEVEL_rPrim,-0.29878640974427684,2.2430901170390612e-7
AC1B_r1,-0.4126389180838629,7.839304997908564e-5
HO3_r31,-0.25010325667106703,1.8683625860124687e-4
HO3_r32.3,-0.35617654351621825,2.7097323721733517e-4
AGE_PERS6540.64_Non,-0.41419109122896974,1.515154257499855e-16
AGE_PERS6540.64_Oui,-0.453679144580609,8.021172618573776e-6
AGE_PERS6565._Oui,-0.5730485591044595,5.891092361390573e-18
AM7_HO12.1.5._Non,-0.4212743617497635,1.953977846621033e-6
AM7_HO12.1.5._Oui,-1.0383083352079985,3.5873073221202256e-16
AM7_HO12.6.210._Non,-0.5287920784349445,4.574268867298561e-6
AM7_HO12.6.210._Oui,-0.8218217059628403,1.9820864398616343e-7
AM7_HO120_Oui,-0.9387193447080903,7.146356971320636e-25
IMC,-0.012600158934478363,0.002606898634871479
(Intercept):1,4.426885648404614,1.243520641709217e-218
(Intercept):2,0.9930356681125467,7.787738019055658e-14
HHINCOME2,0.2241804424434625,2.2360799307205993e-4
HHINCOME3,0.37099001721895597,2.483359952112227e-9
HHINCOME4,0.43232835654001806,9.415171628994586e-12
HHINCOME5,0.6004919258052691,5.392364966897601e-20
AM42,0.2314845413100925,1.644345461723802e-7
AM43,0.5137057835300596,6.0536314621653635e-15
MD12,0.7568462233641702,3.7854046426402743e-65
MD22,0.44142734676251527,1.705536246499465e-23
PE61,0.2941709728916192,2.4659497362495666e-7
PE62,0.5249850213077265,1.3637596381190788e-16
PE63,0.7626928871822539,6.554154297663253e-23
PE64,0.6004109268904211,1.6651793771959272e-8
PE65,0.6256045103516737,1.8964948428732103e-7
PE67,0.687751755125292,7.353002136923503e-9
HATLEVEL_rUniv,0.2385860812037392,9.472821140783597e-7
PA2_rJamais,0.35505607575509207,8.834153325601122e-5
