Variable,Estimate,Pr(>|z|)
AM6A1,-0.35830162941259736,0.0030585369727299774
AM6B1,-0.8403281654010561,3.979347207703276e-6
PE13,-0.4221519714629995,7.517695269718593e-4
PE14,-0.49979012496471054,5.999250516756306e-4
FV14,-0.45708872607507983,2.3165148052968907e-4
nb_maladiegrave1,-2.196024941499179,2.8178499354842864e-121
nb_maladiegrave2,-2.6486347009939184,1.0920008849517038e-82
nb_maladiegrave3.,-3.2931851031106003,1.4928116310563194e-42
nb_maladiepasgrave1,-1.8413320819913372,8.219104744612476e-116
nb_maladiepasgrave2,-2.233932643352039,1.220510509078744e-103
nb_maladiepasgrave3,-2.737413249558945,1.1036636949543319e-88
nb_maladiepasgrave4.,-3.540475056974796,9.583264022576675e-64
HATLEVEL_rPrim,-0.9476541030502883,1.2980520465373465e-6
AC1B_r1,-0.6271057600699282,1.377759228983492e-5
HO3_r31,-0.5080589863647854,3.763862829841243e-4
AGE_PERS6540.64_Non,-0.5560625770828923,2.8743674212348867e-11
AGE_PERS6540.64_Oui,-0.8020092667963671,3.465461426214556e-8
AGE_PERS6565._Oui,-0.8287721184068604,3.5420387685336715e-14
AM7_HO12.1.5._Non,-0.6531232734681904,3.889510717227968e-6
AM7_HO12.1.5._Oui,-2.355695897404882,0.00495499639884128
AM7_HO12.6.210._Non,-0.5811429076978032,2.1052952516264164e-5
AM7_HO120_Oui,-1.3257314574202133,6.1888053391661116e-6
FUMACTPASFumeur.Actif.et.Passif,-0.466279834741578,2.0111234203377753e-4
(Intercept):1,4.177335762081145,5.497770035170998e-164
(Intercept):2,0.5506081719625118,3.449339467523827e-5
SEX1,0.194255380079576,0.004228551701418445
HHINCOME4,0.43631521442754456,9.858293701624639e-7
HHINCOME5,0.7492394732510439,1.8301547089404942e-15
AM11,0.2791215302908914,7.433103274895879e-4
AM12,0.27294028162108636,0.002296776440198858
AM42,0.4017863573876739,1.3212924610030792e-7
AM43,0.8298301019247664,4.808902732367733e-4
MD12,0.6258988189380994,1.667311014423023e-13
MD22,0.35664304929099017,1.6086393089301605e-7
PE25,0.2918788630971005,0.004124632199912217
PE26,0.4567066088344714,0.00437696246475739
PE27,0.29016581106611045,9.687872062366499e-5
PE62,0.45771402816598855,3.3806844810217496e-4
PE63,0.5420823797501055,1.9109219040182765e-4
PE64,0.9226356417691746,2.3847832554782758e-4
PE67,0.44008794294103915,0.005402721172596598
HATLEVEL_rUniv,0.39219162124184437,1.033321284104867e-5
