Variable,Estimate,Pr(>|z|)
HHINCOME2,-0.34925835451427284,1.3067449158654998e-4
AM6B1,-1.2117648488189698,1.4376965220784823e-9
PE11,-0.23899025734326135,0.0014464332929607015
PE14,-3.0581854941568016,8.374133802397587e-4
FV13,-0.3826928961337309,2.7712923174393767e-5
nb_maladiegrave1,-2.626069303890812,1.2099786610165099e-123
nb_maladiegrave2,-3.0657502938175667,4.3458878565962803e-94
nb_maladiegrave3.,-3.467811633273119,3.2817025607176027e-47
nb_maladiepasgrave1,-1.8004114140877467,1.16319025520347e-97
nb_maladiepasgrave2,-2.002937907893635,1.3957342301520143e-67
nb_maladiepasgrave3,-2.7577169681149574,8.06495593541058e-43
nb_maladiepasgrave4.,-3.044866670100662,3.6192349651149043e-28
HATLEVEL_rPrim,-0.3986742874906784,0.004685651710267652
MAINSTAT_r32,-0.24622307805056637,0.003408528734239779
HO3_r31,-0.8437458969925323,1.5216150816933994e-5
AGE_PERS6540.64_Non,-0.6736549579208219,1.889343525865269e-11
AGE_PERS6540.64_Oui,-0.6740445687899989,6.312876420349575e-5
AGE_PERS6565._Oui,-0.7697287073216976,6.135811863524641e-10
AM7_HO12.1.5._Non,-0.5904180639455308,7.086203779439219e-4
AM7_HO12.6.210._Non,-0.5022451848974314,1.7797187233391975e-4
(Intercept):1,4.287369313568464,2.493304597592246e-141
(Intercept):2,0.26743039157088716,0.07212817788372111
HHINCOME5,0.273913317352385,0.007362073074293089
AM42,0.30314631026404515,1.6764917553665354e-4
AM43,0.7034515615797811,4.5334993105703606e-5
MD12,1.0932656571033152,5.0773606935595465e-30
MD22,0.7258617194540922,3.296081497422219e-22
PE25,0.2670934073379769,0.00883962593916893
PE27,0.40704286420429747,3.957751593544495e-7
PE63,0.6375336245709383,0.0015173643790786855
PE64,0.7826983402851057,0.007237282302055529
HATLEVEL_rUniv,0.45174467202762436,2.5001855414195024e-7
PA34Jamais,0.49366779892636736,0.0014111441224204158
