Variable,Estimate,Pr(>|z|)
hhtype5,-0.3803304088953079,1.152351365263912e-8
AM6A1,-0.37820916165497204,0.0026689145691109885
PA61,-0.9920931587172623,1.2120089007017738e-4
PE14,-0.6348571340650944,2.366127084965561e-18
FV13,-0.1653295618561658,0.0017552567013929012
FV14,-0.3751833107307699,1.0458724460827376e-6
nb_maladiegrave1,-3.259293681556923,0
nb_maladiegrave2,-4.032071557464464,5.606786273511522e-284
nb_maladiegrave3.,-4.884602942910633,1.4930270347223126e-111
nb_maladiepasgrave1,-2.104837608698356,1.2325653488559389e-222
nb_maladiepasgrave2,-2.7181227807595536,4.3695379385675403e-178
nb_maladiepasgrave3,-2.8897874010806124,3.91883422843815e-51
nb_maladiepasgrave4.,-3.450185008649811,9.641520828570765e-20
HATLEVEL_rPrim,-0.590502379639951,5.442772307824547e-16
AC1B_r1,-0.5939830770952481,0.0010622772736660752
HO3_r31,-0.7705175841019543,5.654903762579539e-4
AGE_PERS6540.64_Non,-1.1134064784532791,1.8977300674296888e-40
AGE_PERS6540.64_Oui,-0.8411311866329106,2.8354424111773537e-15
AGE_PERS6565._Oui,-1.7274381367029372,8.940182526270778e-74
AM7_HO12.1.5._Non,-0.7856698447642019,3.3943681079847137e-4
AM7_HO12.6.210._Non,-0.943261346483551,1.072556090427037e-12
AM7_HO12.6.210._Oui,-2.8192973250774767,2.947205080009212e-7
AM7_HO120_Oui,-1.3244781065702622,2.3960969822285598e-8
IMC,-0.021100493113792605,0.0017545021266237013
(Intercept):1,4.849138342096814,1.9749440351977787e-106
(Intercept):2,0.7079015690139459,0.0010727739025383866
hhtype3,0.2426988597222428,0.005943738273937351
HH_ACT1,0.30929185901287576,1.894100771172639e-5
HH_ACT2,0.49043258132394885,9.865198587330406e-10
HH_ACT3.,0.5701364678930185,1.535851382348888e-7
HHINCOME2,0.2405111108410737,7.112488000825518e-4
HHINCOME3,0.4382772955355725,6.792975576344867e-9
HHINCOME4,0.48611456658792623,1.9182274694888822e-09
HHINCOME5,0.649413073539604,6.423423026010594e-13
AM11,0.3504295725739633,1.331149227198406e-4
AM42,0.5088492322388593,1.4782546370818003e-14
AM43,0.9934253038883291,1.551741828101949e-26
MD12,0.839022225181289,4.2914528031794885e-31
MD22,0.5358865534497187,1.469005496471635e-18
PE25,0.3054966751242028,4.591555568029956e-6
PE27,0.27037512131149394,2.621590356248975e-7
PE42,0.4679888017658376,0.005876730318306831
DEG_URB_r1,0.16896593236918914,0.003553000415726102
HATLEVEL_rUniv,0.4973907740365192,3.6368249494114835e-7
PA2_r.1A,0.31031255065232455,2.508279407333078e-7
PA2_rJamais,0.9564313923694222,7.9441599806089e-11
FUMACTPASFumeur.Actif.et.Passif,0.1827244525973621,0.005618321209002438
