Variable,Estimate,Pr(>|z|)
AM6A1,-0.5055740880814564,1.0653622401230708e-12
AM6B1,-0.8417166560692593,5.3629144208350645e-14
FV14,-0.2653363557514073,0.008511522878462487
nb_maladiegrave1,-2.2890172699952727,4.4909050746831734e-164
nb_maladiegrave2,-2.911751197323284,1.6428931785668887e-72
nb_maladiegrave3.,-3.1061462585911253,4.873874105926011e-22
nb_maladiepasgrave1,-1.6321039838303513,1.0626184922653438e-118
nb_maladiepasgrave2,-2.122432866308574,4.732654787949925e-113
nb_maladiepasgrave3,-3.008762098184065,1.4848292387765057e-87
nb_maladiepasgrave4.,-3.0056575133261454,9.754468288755915e-39
AC1A_r1,-0.7044209384691507,0.0077627974743483185
HO3_r31,-0.35662834694568896,4.687901849687208e-4
HO3_r32.3,-0.4409797595086887,2.6647114532296578e-6
AM7_HO12.1.5._Oui,-1.5050005762986536,0.001891611702051261
FUMACTPASFumeur.Actif.et.Passif,-0.5011614781359683,0.004811984246224339
IMC,-0.03876541731294078,3.3311165884119725e-8
(Intercept):1,4.247486980137178,5.0895358762990596e-80
(Intercept):2,0.9626136746097129,6.159637798447361e-6
SEX1,0.1980488671418279,0.0015926949102195687
HH_ACT1,0.19009152445417174,0.00414154303915637
HHINCOME4,0.3420511210671617,1.4190538746621153e-5
HHINCOME5,0.6300100798671657,3.991042833358709e-14
AM42,0.22934552741788258,0.0027702110076189353
AM43,0.4137029717346432,2.868309276021237e-7
MD12,0.5501229878845155,9.677553369744278e-15
MD22,0.3637326138302523,4.1899654280457294e-9
PE27,0.19499892178079956,0.0021546471938909215
PE62,0.5375148602260676,6.531206538453168e-9
PE63,0.6457758832082171,2.0397195502610942e-13
PE64,0.7520120642598881,1.6802232726889337e-11
PE65,0.990417492934331,4.1457475524733174e-16
PE66,1.1985037322100152,1.0158908698282664e-11
PE67,0.7077681591922413,1.1107572370868934e-8
AGE_PERS6565._Oui,0.48958452330805946,2.0094798528612587e-8
